zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000684255503,CC1(F)CN(C(=O)NCCOC2CCCC2)C1,0.396632,-7.313,0.14131391,0
ZINC000715995168,Cc1ccc(CN[C@@H](C)c2ccns2)s1,0.6014051,-6.783,0.60205114,0
ZINC000813730664,CC(C(=O)N[C@@H]1CCCC1(F)F)=C1CCCC1,0.47391462,-8.723,0.14781612,0
ZINC000828723740,COC(=O)[C@@H](C)NC(=O)CN(C)C(=O)O,0.32685316,-5.71,0.16974095,0
ZINC000844472374,FC(F)C(F)(F)CN1CC[C@@]2(CC2(F)F)C1,0.396733,-7.202,0.1530539,0
ZINC000855561711,CC[C@@H](CO)C(=O)Nc1ccn(CC)n1,0.39613587,-6.728,0.20114943,0
ZINC000876668023,O=C(N[C@@H]1CCSC1)[C@H](F)[C@@H]1CCNC1,0.40873015,-6.538,0.24585055,0
ZINC000924986491,COc1cc([C@@H](C)N[C@@H]2CCCOC2)on1,0.47537586,-6.516,0.38015682,0
ZINC000925248718,COc1cc([C@@H](C)NC[C@@]2(C)CCCO2)on1,0.5546877,-7.14,0.47239348,0
ZINC000930253758,N#C[C@@]1(F)CCN(CC[N+](=O)[O-])C1,0.30372643,-5.79,0.11561194,0
ZINC001071786604,C=CCCC(=O)N1C[C@@H](C)[C@@H](NC(C)=O)C1,0.46297246,-7.095,0.29539227,0
ZINC001258212195,COCC1CN([C@H](C)CCSC)C1,0.35013068,-4.984,0.29132867,0
ZINC001258716850,C=CCC[C@H](C)NCc1ncc(F)cn1,0.52022564,-6.831,0.43625188,0
ZINC001344284500,O=C(CSC1CC1)OC1CSC1,0.4685439,-5.073,0.5166418,0
ZINC000015442313,CCOC(=O)[C@@](C)(F)C(=O)c1ccccc1,0.44057968,-7.257,0.23419225,0
ZINC000041362600,COCCNC(=O)CN1CCCC[C@@H]1C,0.40777212,-6.109,0.28855288,0
ZINC000078826344,CC(=O)N[C@H](Cc1ccccc1)C1CC1,0.53172284,-7.567,0.38251,0
ZINC000229289107,Cc1ccc(Cl)c(N[C@@H](C)C(=O)O)c1,0.42962214,-7.249,0.21331806,0
ZINC000281236361,C[C@H]1OCC[C@H]1NC(=O)CCc1cnccn1,0.3984457,-7.544,0.12089125,0
ZINC000285082501,CC(=O)c1nccn1CCSC(C)C,0.36806184,-5.625,0.26020843,0
ZINC000306577238,C[C@H]1CCN(C(=O)CO)CC1(F)F,0.31154338,-6.469,0.060505778,0
ZINC000335827297,CC(=O)N1CCN(C(=O)C2(C)COC2)CC1,0.44339877,-6.9,0.27689138,0
ZINC000390493580,CCO[C@H]1C[C@H](Nc2cnc[nH]2)C12CCC2,0.47000828,-6.801,0.3398947,0
ZINC000495635617,CCOCCOC(=O)[C@H]1NC(=O)O[C@H]1C,0.36702457,-6.1,0.20877129,0
ZINC000612379083,COC[C@H](OC)C(=O)NC1CC=CC1,0.3134046,-6.023,0.110560164,0
ZINC000628237001,C[C@@H](NCc1cn(C)nn1)C1CC(F)(F)C1,0.5159826,-7.259,0.38335073,0
ZINC000664922470,O=C(NCCc1cn[nH]c1)N[C@@]12C[C@@H]1CCC2,0.5365233,-7.328,0.41686648,0
ZINC000717822398,C#CC[C@H](CO)N[C@@H]1C[C@@H](C)O[C@@H]1C,0.5045399,-6.532,0.43626478,0
ZINC000828300698,O=C(N[C@@H](CO)C1CC1)[C@H](O)C1CCC1,0.38840374,-6.972,0.16046587,0
ZINC000865784124,c1cc(CNC[C@@H]2C[C@H]2C2CCOCC2)c[nH]1,0.6922308,-7.546,0.702645,0
ZINC000906009148,Cc1cc(C#N)cc(N(C(=O)CO)C2CC2)n1,0.4339992,-7.351,0.21138442,0
ZINC000951595228,CCN1CCN(C(=O)c2nc(C)c[nH]2)CC1,0.5827537,-6.36,0.6090808,0
ZINC001136654243,CN(C(=O)c1ccc(CO)nc1)c1cccnc1,0.46091542,-7.619,0.23684092,0
ZINC001143193724,C[C@H]1CCCCN(C(=O)CCC#N)C1,0.40167037,-6.966,0.1873696,0
ZINC001231307642,Oc1nc(O[C@@H]2CCc3cc(F)ccc32)n[nH]1,0.55750793,-8.483,0.33835793,0
ZINC000040909586,Cc1cc(C(=O)NC(C)(C)C(=O)O)on1,0.3425293,-6.616,0.10660354,0
ZINC000080887277,COCC(=O)N[C@@H]1CC[C@@H](SC)C1,0.3877286,-5.534,0.30862713,0
ZINC000171349989,CCCC(=O)N1CSC[C@H]1C(N)=O,0.33132234,-5.667,0.18306437,0
ZINC000292615502,Cc1ccoc1CN(C)C(=O)CCC1CC1,0.41829604,-7.024,0.21427369,0
ZINC000334716689,CC(=O)N1CCCc2c(F)c(F)c(F)cc21,0.49047655,-8.258,0.2289665,0
ZINC000338759521,C[C@H](F)CCN=c1[nH]c2ccc(F)cc2n1C,0.6161968,-7.752,0.53061223,0
ZINC000728799258,C#Cc1ccc(C(=O)Oc2ccc(C)cc2)nc1,0.50293595,-9.142,0.16174419,0
ZINC000762095555,Cc1cc(C(=O)OC2(C#N)CCC2)nn1C,0.42031562,-7.65,0.15319356,0
ZINC000811044849,CON(C(=O)c1ncn(C)n1)C1CCCC1,0.4568438,-6.78,0.31600025,0
ZINC000844780633,C=C[C@@H](C)ONC(=O)c1cnns1,0.3384303,-6.028,0.15961398,0
ZINC000869794072,CO[C@H](C)COC(=O)c1cscc1Cl,0.34985948,-5.986,0.1866206,0
ZINC000873529345,CC1(C(=O)OCc2cnn[nH]2)CC(F)(F)C1,0.4108547,-7.067,0.19506271,0
ZINC000878414717,COC(=O)C[C@@H](NCc1nocc1C)C1CC1,0.5003567,-6.644,0.41633427,0
ZINC000883356705,CC[C@H](NC[C@@H]1CCN1CC)c1ccncc1,0.51842695,-6.918,0.4236441,0
ZINC001167630371,CC(=O)CNc1ccc(C(F)(F)F)nc1C,0.42983398,-7.164,0.2225745,0
ZINC000056268434,CC1CCC(CNC(=O)c2csnn2)CC1,0.39720663,-7.349,0.13870955,0
ZINC000119077584,CONC(=O)N[C@H]1CCC[C@@H](N(C)C)C1,0.45096308,-6.315,0.35269386,0
ZINC000158973684,CCCCNC[C@]1(OC)CCOC1,0.5080231,-5.48,0.5525336,0
ZINC000295605763,C[C@@H](CF)NC(=O)c1cncc(Cl)c1,0.5514068,-6.587,0.5233859,0
ZINC000307739909,C[C@H](CO)CN1CCCC12CCC2,0.32645372,-6.208,0.117176116,0
ZINC000354595488,COc1nc(C)cc(N(C)C[C@H]2CCCO2)n1,0.39316308,-7.019,0.16500743,0
ZINC000615369289,Cc1nccnc1CCNC(=O)CCCF,0.4067984,-6.866,0.20792405,0
ZINC000617226956,COC[C@H](CCNC(=O)C1CCC1)OC,0.32843885,-6.183,0.12370761,0
ZINC000618401633,CC[C@@H](O)CNC(=O)C1CC2(CCC2)C1,0.40395963,-7.217,0.16580977,0
ZINC000629357594,CCOC1CC(n2ccc(C(F)(F)F)n2)C1,0.38594964,-7.261,0.12555921,0
ZINC000639839651,CO[C@H]1CN(Cc2cc(C)ccn2)CCO1,0.4745597,-7.205,0.30690965,0
